messageId,customerId,headerId,message,mobileNum,status,wordcount,multipartSize,timestamp,templateDetails,systemMetaData,metadata,id
dabe0c28-8612-4302-890c-6889ebe489af,rakesh,AJIOLX,encoded-message,9012345678,DELIVERED,10,1,1778567041154,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041154  submitTime=1778567041154  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},dabe0c28-8612-4302-890c-6889ebe489af
143ebf64-efd0-4511-937b-5ba20e4f1c46,rakesh,AJIOLX,encoded-message,9012345678,FAILED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},143ebf64-efd0-4511-937b-5ba20e4f1c46
07cce74d-e172-4ff6-9dd4-f73962dde129,rakesh,AJIOLX,encoded-message,9012345678,SUBMITTED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},07cce74d-e172-4ff6-9dd4-f73962dde129
e6fd0c5c-49d3-497c-93cb-71858af58854,rakesh,AJIOLX,encoded-message,9012345678,DELIVERED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},e6fd0c5c-49d3-497c-93cb-71858af58854
b0a16594-a272-4f9e-8114-72d4fe9aafd6,rakesh,AJIOLX,encoded-message,9012345678,FAILED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},b0a16594-a272-4f9e-8114-72d4fe9aafd6
4f0f898b-1e54-498c-a8fc-4acb1725702e,rakesh,AJIOLX,encoded-message,9012345678,SUBMITTED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},4f0f898b-1e54-498c-a8fc-4acb1725702e
97d9ecba-bc08-49d3-835b-7750a4d87638,rakesh,AJIOLX,encoded-message,9012345678,DELIVERED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},97d9ecba-bc08-49d3-835b-7750a4d87638
1875351a-a35c-473b-a098-e3ec48f7c220,rakesh,AJIOLX,encoded-message,9012345678,FAILED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},1875351a-a35c-473b-a098-e3ec48f7c220
6b54df75-ec9d-4c05-be08-3068c954b5c6,rakesh,AJIOLX,encoded-message,9012345678,SUBMITTED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},6b54df75-ec9d-4c05-be08-3068c954b5c6
f0c29534-8c26-4c6a-8c5e-dae4d952dcc7,rakesh,AJIOLX,encoded-message,9012345678,DELIVERED,10,1,1778567041156,{peId=1234567890  templateId=1234567890},{bindId=abc  countryCode=+91  startTime=2026-03-25 04:47:58  deliverTime=1778567041156  submitTime=1778567041156  countryName=India  operatorDetails={model=GSM  circle=DL  operator=Vodafone Idea Limited}},{subUserId=123  accountType=CORPORATE},f0c29534-8c26-4c6a-8c5e-dae4d952dcc7
